unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669889576, 0, 935, 1569, 1236, 222, 4.88%, 0, 0, 5, 6760.32
1669889581, 0, 954, 1578, 1239, 219, 4.90%, 0, 0, 6, 6691.99
1669889586, 0, 970, 1586, 1246, 218, 4.90%, 0, 0, 6, 6721.64
1669889592, 0, 1013, 1590, 1246, 216, 4.91%, 0, 0, 6, 6727.38
1669889597, 0, 1014, 1596, 1251, 217, 4.91%, 0, 0, 6, 6739.81
1669889602, 0, 1017, 1602, 1254, 215, 4.94%, 0, 1, 6, 6753.07
1669889607, 0, 1025, 1616, 1266, 214, 4.95%, 0, 1, 6, 6733.83
1669889612, 0, 1027, 1625, 1273, 213, 4.98%, 0, 1, 6, 6734.53
1669889617, 0, 1034, 1634, 1280, 217, 4.98%, 0, 1, 6, 6744.63
1669889622, 0, 1037, 1639, 1284, 216, 4.99%, 0, 1, 6, 6669.79
1669889627, 0, 1038, 1647, 1291, 217, 4.99%, 0, 1, 6, 6654.59
1669889632, 0, 1044, 1656, 1298, 216, 4.99%, 0, 1, 6, 6652.70
1669889637, 0, 1053, 1662, 1301, 214, 5.00%, 0, 1, 6, 6733.38
1669889642, 0, 1063, 1673, 1309, 215, 5.03%, 0, 1, 6, 6737.29
1669889647, 0, 1079, 1683, 1316, 213, 5.05%, 0, 1, 6, 6730.70
1669889653, 0, 1080, 1691, 1323, 215, 5.07%, 0, 3, 6, 878.56
1669889658, 0, 1089, 1702, 1331, 217, 5.08%, 0, 3, 6, 6637.12
1669889663, 0, 1093, 1708, 1336, 217, 5.08%, 0, 3, 6, 6640.87
1669889668, 0, 1118, 1712, 1335, 212, 5.08%, 0, 3, 6, 6644.88
1669889673, 0, 1122, 1720, 1341, 214, 5.10%, 0, 3, 6, 6566.30
1669889678, 0, 1129, 1727, 1347, 213, 5.10%, 0, 3, 6, 6572.30
1669889683, 0, 1146, 1731, 1346, 211, 5.11%, 0, 3, 6, 6608.68
1669889689, 0, 1155, 1740, 1353, 210, 5.11%, 0, 3, 6, 6643.12
1669889694, 0, 1168, 1744, 1354, 209, 5.11%, 0, 3, 6, 6668.78
1669889699, 0, 1170, 1752, 1361, 208, 5.11%, 0, 3, 6, 6684.15
1669889704, 0, 1196, 1756, 1362, 206, 5.12%, 0, 3, 6, 6660.71
1669889709, 0, 1201, 1762, 1365, 204, 5.12%, 0, 3, 6, 6654.54
1669889714, 0, 1207, 1768, 1367, 200, 5.12%, 0, 3, 6, 6693.75
1669889719, 0, 1220, 1778, 1373, 200, 5.13%, 0, 3, 6, 6722.41
1669889724, 0, 1227, 1782, 1374, 199, 5.14%, 0, 3, 6, 6693.48
1669889729, 0, 1231, 1786, 1377, 200, 5.15%, 0, 3, 6, 6712.73
1669889734, 0, 1255, 1791, 1378, 199, 5.15%, 0, 3, 6, 6634.99
1669889739, 0, 1267, 1800, 1382, 201, 5.17%, 0, 3, 6, 6662.20
1669889744, 0, 1276, 1818, 1397, 201, 5.22%, 0, 3, 6, 6516.96
1669889750, 0, 1278, 1828, 1406, 213, 5.24%, 0, 3, 6, 6548.59
1669889755, 0, 1295, 1834, 1408, 210, 5.25%, 0, 3, 6, 6410.38
1669889760, 0, 1295, 1840, 1414, 210, 5.26%, 0, 3, 6, 6392.28
1669889765, 0, 1297, 1863, 1436, 213, 5.32%, 0, 3, 6, 6479.49
1669889770, 0, 1304, 1870, 1440, 224, 5.32%, 0, 3, 6, 6582.19
1669889775, 0, 1312, 1875, 1440, 222, 5.32%, 0, 3, 6, 6609.48
1669889780, 0, 1320, 1883, 1443, 221, 5.33%, 0, 3, 6, 6629.12
1669889785, 0, 1335, 1893, 1450, 220, 5.33%, 0, 3, 6, 6572.72
1669889790, 0, 1337, 1898, 1454, 219, 5.33%, 0, 3, 6, 6615.28
1669889795, 0, 1347, 1901, 1453, 215, 5.33%, 0, 3, 6, 6665.92
1669889801, 0, 1349, 1909, 1459, 214, 5.34%, 0, 3, 6, 6682.96
1669889806, 0, 1357, 1912, 1458, 210, 5.34%, 0, 3, 6, 6629.06
1669889811, 0, 1372, 1926, 1464, 215, 5.39%, 0, 3, 6, 6680.75
1669889816, 0, 1375, 1932, 1468, 213, 5.40%, 0, 3, 6, 6716.31
1669889821, 0, 1376, 1938, 1473, 214, 5.40%, 0, 3, 6, 6646.97
1669889826, 0, 1388, 1947, 1474, 213, 5.45%, 0, 3, 6, 6652.80
1669889831, 0, 1392, 1957, 1481, 215, 5.47%, 0, 3, 6, 6620.78
1669889836, 0, 1402, 1967, 1489, 217, 5.48%, 0, 3, 6, 6605.56
1669889841, 0, 1405, 1976, 1497, 219, 5.49%, 0, 3, 6, 6544.86
1669889846, 0, 1417, 1988, 1506, 224, 5.53%, 0, 3, 6, 6542.60
1669889851, 0, 1422, 2001, 1517, 225, 5.53%, 0, 3, 6, 6584.76
1669889857, 0, 1428, 2006, 1520, 228, 5.53%, 0, 3, 6, 6614.30
1669889862, 0, 1433, 2019, 1532, 227, 5.54%, 0, 3, 6, 6634.54
1669889867, 0, 1436, 2027, 1539, 229, 5.54%, 0, 3, 6, 6621.24
1669889872, 0, 1442, 2035, 1546, 230, 5.54%, 0, 3, 6, 6622.72
1669889877, 0, 1455, 2045, 1551, 229, 5.55%, 0, 3, 6, 6604.37
1669889882, 0, 1459, 2058, 1562, 230, 5.56%, 0, 3, 6, 6648.25
1669889887, 0, 1473, 2064, 1563, 229, 5.56%, 0, 3, 6, 6609.88
1669889892, 0, 1481, 2073, 1568, 231, 5.57%, 0, 3, 6, 6633.95
1669889897, 0, 1488, 2078, 1569, 227, 5.57%, 0, 3, 6, 6481.58
1669889902, 0, 1489, 2082, 1572, 229, 5.58%, 0, 3, 6, 6502.51
1669889908, 0, 1491, 2088, 1577, 228, 5.58%, 0, 3, 6, 6578.59
1669889913, 0, 1500, 2092, 1577, 225, 5.59%, 0, 3, 6, 6630.94
1669889918, 0, 1504, 2096, 1580, 226, 5.60%, 0, 3, 6, 6659.20
